sno,filename,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20
63,Script_9.txt,3.69E-05,3.69E-05,0.734255162,3.69E-05,3.69E-05,0.000184366,3.69E-05,0.000479351,3.69E-05,0.098414454,3.69E-05,3.69E-05,0.000331858,3.69E-05,0.000626844,3.69E-05,3.69E-05,0.079830383,0.084845133,0.000626844
64,Script_Arthur.txt,0.007964724,0.005471419,0.148790285,0.001408256,0.002793425,0.000207775,0.003993905,0.005102041,0.00288577,0.668967587,0.002147013,0.001223566,0.005379075,0.001038877,0.000669499,0.00528673,0.006764244,0.127828054,2.31E-05,0.002054668
65,Script_Air_Force_One.txt,0.000158172,1.76E-05,0.309683656,8.79E-05,1.76E-05,0.000158172,1.76E-05,0.430667838,1.76E-05,0.09745167,0.000439367,0.002196837,1.76E-05,0.000228471,0.000158172,0.000509666,8.79E-05,0.157838313,0.000228471,1.76E-05
66,Script_Amadeus.txt,1.55E-05,1.55E-05,0.146003591,0.000139302,1.55E-05,1.55E-05,0.00075842,7.74E-05,1.55E-05,0.301278479,0.000139302,1.55E-05,0.001749009,7.74E-05,0.000263125,1.55E-05,0.462868375,0.086382491,1.55E-05,0.000139302
67,Script_Above_the_Law.txt,1.74E-05,0.000296374,0.247437238,0.000366109,0.000505579,1.74E-05,8.72E-05,1.74E-05,1.74E-05,0.131746862,8.72E-05,0.000645049,1.74E-05,1.74E-05,8.72E-05,0.003643654,0.337604603,0.274843096,1.74E-05,0.002527894
68,Script_American_Madness.txt,0.000112928,0.000293613,0.110059626,0.001648749,0.000293613,2.26E-05,2.26E-05,2.26E-05,0.00020327,0.303302015,2.26E-05,2.26E-05,0.000112928,0.409996386,2.26E-05,0.000293613,2.26E-05,0.173299304,0.00020327,2.26E-05
69,Script_American_Graffiti.txt,0.000344018,2.02E-05,0.175671847,0.000263073,0.000910636,2.02E-05,2.02E-05,0.000101182,0.000586854,0.335943824,2.02E-05,0.000910636,2.02E-05,0.000101182,0.394386434,0.002853327,2.02E-05,0.085255788,2.02E-05,0.002529545
70,Script_Adaptation.txt,0.002953771,0.000495599,0.137201649,0.000654191,0.002715883,0.003270954,0.000812782,0.002081516,0.011041948,0.331159305,0.355582428,1.98E-05,1.98E-05,0.000495599,0.050134803,1.98E-05,0.000257712,0.099694711,0.001367853,1.98E-05
71,Script_187.txt,0.000170856,0.352893158,0.215601033,0.005030754,0.000778343,0.000474599,1.90E-05,0.000246792,1.90E-05,0.19745235,1.90E-05,1.90E-05,0.000246792,0.000170856,0.012776217,0.000474599,1.90E-05,0.213474827,1.90E-05,9.49E-05
72,Script_12.txt,3.88E-05,3.88E-05,0.137381801,0.002829019,0.000813827,0.000658813,3.88E-05,0.000193768,0.396256394,0.292706557,3.88E-05,0.004224151,0.000193768,0.000503798,0.007169431,0.000968842,0.003139048,0.152728259,3.88E-05,3.88E-05
73,Script_Airplane_2_The_Sequel.txt,0.001037169,0.00154517,0.212280925,0.001629837,2.12E-05,0.002391838,0.001714503,0.000359834,2.12E-05,0.190944882,0.000952502,0.44655406,0.000867835,2.12E-05,0.000867835,0.001375836,0.000783168,0.135911438,2.12E-05,0.000698501
74,Script_Assassins.txt,2.33E-05,2.33E-05,0.244039303,0.00011642,2.33E-05,0.000768371,2.33E-05,2.33E-05,0.000675235,0.154815125,2.33E-05,0.00011642,2.33E-05,0.00011642,2.33E-05,0.00011642,0.000395828,0.595813542,0.000954643,0.001886002
75,Script_Analyze_This.txt,2.45E-05,0.000318315,0.109818805,0.002277179,0.002571009,0.000318315,0.001199804,0.000416259,2.45E-05,0.383080313,0.000122429,0.003256611,0.314715965,2.45E-05,0.043805093,2.45E-05,0.000122429,0.134108717,2.45E-05,0.003746327
76,Script_American_Beauty.txt,0.001268773,2.59E-05,0.113231486,2.59E-05,0.000750906,0.001579492,2.59E-05,2.59E-05,0.001579492,0.331874676,2.59E-05,2.59E-05,2.59E-05,0.00054376,0.41949767,2.59E-05,2.59E-05,0.129181771,2.59E-05,0.00023304
77,Script_Adjustment_Bureau_The.txt,0.00183506,0.312456822,0.152439551,2.16E-05,0.000107945,2.16E-05,0.000453368,0.000280656,0.001144214,0.269106218,0.001575993,2.16E-05,2.16E-05,0.000107945,0.000194301,2.16E-05,0.000194301,0.259261658,0.000712435,2.16E-05
78,Script_Army_of_Darkness.txt,3.19E-05,0.000159683,0.546531681,0.001309402,0.000798416,3.19E-05,3.19E-05,3.19E-05,0.000670669,0.054579714,3.19E-05,3.19E-05,3.19E-05,3.19E-05,0.000159683,3.19E-05,0.000159683,0.052663516,0.34137072,0.001309402
79,Script_As_Good_As_It_Gets.txt,2.70E-05,0.000243059,0.145646538,0.002727666,0.001539376,2.70E-05,0.250324079,0.000459112,2.70E-05,0.431700335,2.70E-05,2.70E-05,2.70E-05,0.000135033,0.000783191,2.70E-05,2.70E-05,0.166063519,0.000135033,2.70E-05
